,USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,Party
2642,3285,1988.0,Male,"$75,000 - $100,000",Married (no kids),Bachelor's Degree,,,No,Yes,,No,Public,,,,No,No,No,Yes,,Study first,No,Yes,,Yes,,Yes,No,Idealist,No,No,Cool headed,Standard hours,,,No,Yes,Yes,Yes,,Yes,,Yes,Yes,Me,No,,No,Yes,No,Mysterious,Yes,,Tunes,Technology,,,Yes,,Yes,Supportive,,PC,,Cautious,No,,No,,,,No,No,,Yes,Grrr people,,,,,No,No,,No,,,,No,Own,Optimist,,Yes,Yes,No,Yes,Nope,No,,,,,,Yes,,Yes,,Republican
1138,1407,1993.0,Male,"$75,000 - $100,000",Single (no kids),Current Undergraduate,,Yes,No,No,,Yes,Public,Yes,Yes,No,No,Yes,No,Yes,Science,Try first,Yes,No,No,No,Giving,Yes,No,Pragmatist,No,No,Hot headed,Odd hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,Yes,No,,Mysterious,No,No,Tunes,People,No,Yes,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,Yes,,Yes,,,,No,,Yes,,,Yes,No,No,Yes,No,Yes,Yes,,Yes,No,Yes,No,Own,Pessimist,Mom,,No,Yes,Yes,Nope,Yes,No,No,No,No,,Yes,No,No,Yes,Democrat
2257,2809,1982.0,Male,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,,,,,,,,,Yes,No,Yes,No,Yes,No,Science,Study first,Yes,No,No,Yes,Receiving,No,Yes,Idealist,Yes,Yes,Cool headed,Odd hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,Yes,Circumstances,Yes,Yes,Yes,Yes,Yes,TMI,Yes,No,Talk,Technology,No,Yes,Yes,No,No,Supportive,No,PC,,Cautious,,Umm...,No,Socialize,No,Online,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Check!,Yes,,,,,,Yes,No,,,Democrat
3137,3909,1990.0,Female,"under $25,000",Married (w/kids),High School Diploma,Yes,No,No,Yes,Yes,No,Public,No,Yes,No,Yes,Yes,No,No,Art,Study first,No,Yes,Yes,Yes,Giving,Yes,Yes,Idealist,Yes,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,No,No,Yes,No,Yes,Mysterious,Yes,Yes,Tunes,People,No,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,No,No,Yes,Yes,Yay people!,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Rent,Optimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Democrat
1787,2217,1962.0,Male,"$100,001 - $150,000",Married (no kids),,,,,,,,,,,,,,,,,Study first,Yes,No,No,No,Receiving,Yes,Yes,Pragmatist,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,Yes,,Democrat
3165,3949,1973.0,Male,"$50,000 - $74,999",Married (w/kids),High School Diploma,Yes,,,,Yes,No,Public,No,Yes,No,,,No,Yes,Art,Try first,Yes,No,,No,,Yes,Yes,Idealist,No,Yes,,Odd hours,No,Happy,Yes,Yes,Yes,,,Yes,End,,No,Me,Yes,Yes,Yes,Yes,Yes,Mysterious,Yes,,Talk,Technology,No,No,Yes,No,No,Supportive,No,PC,,,No,,No,,,Online,Yes,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,No,No,No,Yes,,Yes,,,Own,Optimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,,No,No,Republican
550,684,1960.0,Female,"over $150,000",Married (w/kids),Associate's Degree,No,No,,No,Yes,No,Public,Yes,No,No,No,Yes,No,Yes,Art,Try first,Yes,Yes,No,No,Giving,Yes,No,Pragmatist,Yes,Yes,Cool headed,Odd hours,Yes,Happy,Yes,Yes,Yes,Yes,A.M.,Yes,Start,Yes,Yes,Me,Yes,No,No,No,No,TMI,No,No,Talk,Technology,Yes,Yes,Yes,No,No,Demanding,No,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,No,Yay people!,Yes,,,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Own,Optimist,Mom,No,Yes,Yes,No,Check!,No,No,No,Yes,Yes,,Yes,Yes,,Yes,Republican
3835,4780,1979.0,Male,,Single (no kids),High School Diploma,No,Yes,No,Yes,Yes,Yes,Public,No,No,No,Yes,Yes,Yes,Yes,Science,Study first,No,No,No,Yes,Receiving,No,Yes,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,No,Yes,No,No,P.M.,Yes,Start,No,Yes,Circumstances,Yes,No,No,Yes,No,Mysterious,No,Yes,Tunes,Technology,Yes,Yes,Yes,Yes,Yes,Demanding,No,,No,Cautious,No,Yes!,No,Space,No,In-person,Yes,Yes,No,No,Grrr people,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Rent,Pessimist,Mom,No,Yes,No,Yes,Check!,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Republican
2019,2511,1971.0,Male,"$25,001 - $50,000",Single (no kids),,,,,,,,,,,,,,,,,,Yes,No,,,,Yes,No,Pragmatist,No,Yes,Hot headed,,,,,,No,Yes,A.M.,No,,Yes,No,Me,Yes,Yes,Yes,Yes,,,Yes,,Talk,Technology,No,Yes,Yes,,No,Supportive,,,No,Cautious,No,,No,,No,,,,Yes,Yes,Grrr people,Yes,No,Yes,No,,No,,No,No,No,No,No,Rent,Pessimist,,Yes,Yes,Yes,Yes,Check!,,No,No,,,,,,,,Republican
948,1180,1981.0,Female,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Yes,No,No,Yes,No,No,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Study first,No,Yes,Yes,No,Giving,Yes,No,Idealist,No,Yes,Hot headed,Standard hours,No,Happy,No,Yes,Yes,Yes,A.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,TMI,No,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Demanding,No,PC,No,Cautious,No,Umm...,No,Space,Yes,Online,No,No,Yes,Yes,Grrr people,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Only-child,No,Yes,No,Republican
3621,4512,1964.0,Female,"$25,001 - $50,000",Single (no kids),Associate's Degree,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Study first,Yes,No,Yes,No,Giving,Yes,Yes,,No,Yes,,,,,,,,,A.M.,Yes,,Yes,No,,No,No,Yes,,Yes,Mysterious,No,No,Tunes,,Yes,Yes,,No,Yes,Supportive,Yes,,No,Cautious,,Yes!,No,,No,In-person,No,Yes,,Yes,Yay people!,No,Yes,,,,,Yes,No,No,No,No,No,Own,,Dad,No,Yes,Yes,,Check!,Yes,Yes,No,No,,No,Yes,No,Yes,No,Republican
4539,5667,1981.0,Male,"$75,000 - $100,000",Married (no kids),Doctoral Degree,,,,,,Yes,Public,No,Yes,No,Yes,Yes,Yes,Yes,Science,,No,Yes,,No,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,No,TMI,Yes,No,Tunes,People,No,No,Yes,No,,,,,Yes,Cautious,No,Yes!,No,Socialize,Yes,Online,Yes,No,,,,Yes,No,Yes,No,Yes,Yes,No,,,,,,,Optimist,Mom,Yes,Yes,No,Yes,,Yes,No,No,Yes,,No,Yes,,No,Yes,Democrat
532,665,1979.0,Male,"$50,000 - $74,999",Single (no kids),Associate's Degree,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Idealist,No,No,Cool headed,Odd hours,Yes,Right,No,Yes,Yes,No,P.M.,No,End,Yes,Yes,Circumstances,Yes,Yes,No,No,No,TMI,Yes,No,Talk,Technology,No,Yes,Yes,No,No,Demanding,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,Online,No,,No,Yes,Grrr people,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Own,Optimist,Dad,Yes,Yes,No,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Republican
3352,4172,1996.0,Female,"$25,001 - $50,000",Single (no kids),Current K-12,,Yes,No,No,No,No,Public,Yes,Yes,Yes,Yes,Yes,No,No,Science,Try first,Yes,Yes,,No,Receiving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Standard hours,No,Right,No,No,No,Yes,,No,Start,No,No,Circumstances,Yes,Yes,No,Yes,No,TMI,No,No,Tunes,People,No,Yes,Yes,No,Yes,Demanding,No,PC,Yes,Risk-friendly,No,,Yes,,No,In-person,No,Yes,Yes,Yes,Grrr people,No,,,No,Yes,No,No,Yes,,No,Yes,Yes,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Yes,No,No,No,Republican
1829,2267,1994.0,Female,"over $150,000",Single (no kids),Current Undergraduate,Yes,Yes,,No,Yes,No,Private,Yes,Yes,Yes,Yes,Yes,No,Yes,Art,Try first,,No,No,No,Giving,Yes,Yes,,No,Yes,,Standard hours,,Right,,Yes,No,Yes,,,End,Yes,No,Me,Yes,,No,,Yes,TMI,No,Yes,Tunes,People,No,Yes,,Yes,No,Demanding,,PC,,,Yes,Umm...,No,,Yes,Online,,No,Yes,Yes,Grrr people,Yes,,,Yes,No,Yes,No,No,Yes,,Yes,No,Own,Optimist,,Yes,Yes,,Yes,,,,No,Yes,Yes,No,Yes,,No,No,Democrat
3604,4491,1962.0,Female,"$75,000 - $100,000",Married (no kids),Master's Degree,,No,No,Yes,Yes,Yes,Public,No,Yes,No,No,No,Yes,Yes,Art,Study first,No,No,No,Yes,Giving,Yes,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,No,Yes,Me,Yes,No,Yes,No,No,TMI,Yes,No,Talk,People,No,Yes,Yes,No,Yes,Supportive,No,PC,No,Cautious,Yes,Umm...,No,Space,No,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Democrat
4921,6147,1970.0,Female,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,No,No,,Yes,No,Yes,Yes,No,TMI,No,,,,,,,,,,,,,Cautious,,Yes!,No,Socialize,Yes,In-person,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
4439,5538,1994.0,Male,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Risk-friendly,No,Yes!,No,Space,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
2941,3659,1975.0,Male,"$75,000 - $100,000",Married (w/kids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
1602,1987,1971.0,Male,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,,Yes,No,No,No,No,Private,No,Yes,No,No,No,Yes,Yes,Art,Try first,Yes,No,Yes,No,Giving,No,No,Idealist,No,No,Hot headed,Standard hours,Yes,Right,Yes,Yes,Yes,No,P.M.,No,End,Yes,Yes,Me,Yes,No,Yes,No,Yes,TMI,Yes,Yes,Talk,People,Yes,Yes,Yes,No,Yes,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Rent,Optimist,Mom,Yes,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Democrat
2238,2786,1972.0,Male,"$100,001 - $150,000",Domestic Partners (no kids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,,Yes,,,No,,Yes,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
639,795,1984.0,Male,"$50,000 - $74,999",Married (w/kids),Master's Degree,No,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,Yes,No,Science,Study first,No,Yes,Yes,No,Giving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,End,No,No,Circumstances,Yes,No,No,No,No,Mysterious,No,No,Tunes,People,Yes,No,Yes,Yes,Yes,Supportive,Yes,PC,Yes,Cautious,No,Yes!,No,Socialize,Yes,Online,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Republican
5378,6720,1998.0,Male,,,Current K-12,Yes,Yes,No,No,No,No,Private,Yes,No,Yes,No,No,Yes,Yes,Science,Try first,No,No,No,No,Giving,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
967,1202,1992.0,Male,"under $25,000",Single (no kids),Current Undergraduate,,No,No,No,No,Yes,Public,No,No,No,No,No,No,,Science,Study first,Yes,Yes,Yes,No,Receiving,Yes,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,No,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Space,Yes,Online,No,Yes,No,Yes,Grrr people,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,No,No,Democrat
4711,5881,1997.0,Male,,Single (no kids),Current K-12,Yes,Yes,No,No,Yes,Yes,Public,No,No,Yes,No,Yes,Yes,Yes,Art,Study first,Yes,Yes,Yes,Yes,Giving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Standard hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,No,Yes,No,TMI,No,No,Tunes,People,No,Yes,No,Yes,Yes,Supportive,Yes,,No,Cautious,Yes,Yes!,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,No,Yes,Yes,No,No,No,Yes,Yes,Yes,,,,Own,Optimist,Dad,No,No,Yes,Yes,Nope,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Democrat
3841,4787,1973.0,Male,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,,No,No,Yes,No,Yes,Public,No,No,No,Yes,No,No,Yes,Science,Try first,Yes,No,No,No,Giving,No,,,,,,,,,,,,,,Yes,End,Yes,Yes,,Yes,Yes,Yes,Yes,No,TMI,No,No,Talk,Technology,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Own,Optimist,Mom,No,No,Yes,No,Nope,Yes,,,,,,Yes,No,Yes,Yes,Republican
1683,2088,1968.0,Male,"$50,000 - $74,999",Single (w/kids),Current Undergraduate,No,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,Yes,Yes,Art,Study first,Yes,No,,No,Receiving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,,Happy,No,,,,,,,,,,,,,,,,,,,,,,,,,,No,Mac,,,,,Yes,,No,Online,Yes,No,Yes,Yes,Grrr people,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Own,,,,,,,,,,,,,,,,,,Democrat
2248,2796,1993.0,Male,,Single (no kids),,Yes,Yes,No,No,No,No,Private,Yes,Yes,No,No,Yes,No,Yes,Science,Try first,Yes,Yes,Yes,No,Receiving,Yes,Yes,,No,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,Yes,Me,Yes,Yes,No,Yes,No,TMI,No,No,Tunes,People,Yes,Yes,Yes,No,Yes,Demanding,No,PC,No,Cautious,No,Yes!,No,Socialize,Yes,In-person,No,No,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,Republican
3632,4525,1974.0,Female,"$25,001 - $50,000",Single (w/kids),Current Undergraduate,,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,Yes,Art,Study first,Yes,No,No,No,Giving,No,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,End,Yes,Yes,Me,Yes,Yes,Yes,Yes,No,TMI,No,No,Tunes,Technology,Yes,,,No,Yes,Supportive,No,,No,,No,,No,Space,No,Online,Yes,Yes,Yes,Yes,Grrr people,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Rent,Optimist,,No,Yes,Yes,Yes,Nope,Yes,,No,No,,No,Yes,No,Yes,Yes,Democrat
4979,6221,1995.0,Female,"under $25,000",Single (no kids),Current Undergraduate,,Yes,Yes,No,,No,Private,Yes,No,No,,Yes,Yes,No,Science,,,Yes,Yes,No,Giving,Yes,Yes,Idealist,No,Yes,Hot headed,Standard hours,Yes,,,,No,No,P.M.,Yes,Start,Yes,No,Circumstances,Yes,No,Yes,,No,,No,,,,Yes,Yes,,Yes,Yes,Demanding,Yes,Mac,,,No,Umm...,No,Socialize,No,In-person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
3820,4760,1983.0,Female,"over $150,000",Married (no kids),Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Demanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
155,196,1994.0,Male,,Single (no kids),,,,,,,,,,Yes,No,,Yes,,,,,,,,,,,,,,,Cool headed,Standard hours,No,Happy,Yes,Yes,,,,Yes,End,Yes,No,Me,,,,,No,TMI,No,No,Tunes,Technology,No,No,Yes,Yes,No,Supportive,No,Mac,,,,,,,,In-person,No,,,,,No,No,Yes,No,No,Yes,Yes,,No,No,No,No,Rent,Optimist,Dad,No,No,No,Yes,,,,,,Yes,No,,,,Yes,Democrat
2295,2854,1992.0,Male,"under $25,000",Single (no kids),Current Undergraduate,,,No,No,Yes,Yes,Public,No,Yes,No,No,Yes,Yes,Yes,Art,Study first,No,Yes,Yes,No,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,Yes,Yes,Yes,No,Mysterious,No,Yes,Tunes,People,Yes,Yes,Yes,No,Yes,Supportive,No,Mac,No,Cautious,Yes,Yes!,No,Socialize,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Democrat
5085,6351,1988.0,Female,"$25,001 - $50,000",Married (no kids),Current Undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,TMI,No,No,Talk,People,Yes,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
3505,4367,1989.0,Female,"under $25,000",Single (w/kids),High School Diploma,,Yes,Yes,No,No,Yes,Public,Yes,Yes,No,Yes,Yes,No,No,Science,Try first,Yes,No,No,Yes,Giving,Yes,No,Pragmatist,Yes,Yes,Hot headed,Odd hours,No,Happy,No,No,Yes,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,Yes,No,Yes,Yes,TMI,No,No,Tunes,People,No,Yes,Yes,Yes,Yes,Supportive,Yes,Mac,Yes,Cautious,No,Umm...,Yes,Socialize,No,Online,Yes,No,Yes,No,Grrr people,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Rent,Pessimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Democrat
1089,1350,1964.0,Female,,Married (w/kids),,,Yes,No,Yes,No,Yes,Public,Yes,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,Yes,No,Yes,Giving,Yes,Yes,Pragmatist,No,No,Cool headed,Odd hours,No,Right,Yes,Yes,No,No,A.M.,Yes,Start,Yes,Yes,Me,No,No,No,No,Yes,Mysterious,No,Yes,Talk,Technology,Yes,Yes,Yes,Yes,Yes,Supportive,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,Online,No,Yes,Yes,No,Grrr people,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Own,Optimist,Mom,Yes,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Republican
3268,4068,1996.0,Male,,,,No,No,No,No,Yes,Yes,Private,No,No,No,Yes,Yes,No,Yes,Science,Study first,No,No,Yes,No,Giving,Yes,Yes,Idealist,No,No,Cool headed,Standard hours,No,Right,Yes,Yes,No,No,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,No,No,Mysterious,No,No,Tunes,People,Yes,Yes,Yes,No,No,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,Yes,No,Yes,Grrr people,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Own,Optimist,Mom,No,No,No,Yes,Check!,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Republican
2319,2885,1997.0,Male,"$75,000 - $100,000",Single (no kids),Current K-12,,No,No,No,,,Private,,,,Yes,No,Yes,Yes,Science,,,,No,,,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,No,Yes,,,P.M.,,Start,Yes,,,Yes,No,Yes,No,Yes,TMI,,,,,,Yes,Yes,No,Yes,,Yes,,No,Cautious,No,Yes!,No,Socialize,Yes,In-person,No,No,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Own,Optimist,Mom,No,No,Yes,Yes,Check!,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Republican
4716,5888,1998.0,Male,"over $150,000",Single (no kids),Current K-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,Yes,,,,,,,,Yes,,,,No,No,Yes,,,,,,,,,,,,,,,,,,Yes,Democrat
288,365,1987.0,Male,"under $25,000",Single (no kids),High School Diploma,,,,,Yes,,Public,,No,,,,,,,,,,,,,,,,,,,Standard hours,,,,,,,A.M.,,,,,,Yes,,,,Yes,,Yes,,Tunes,,,,,,,Demanding,,Mac,,,,,,,,Online,,,,,,Yes,Yes,,,,,Yes,,,,Yes,,Rent,,,,,,,,,,,,,,,,,,Democrat
930,1153,1980.0,Male,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,,Yes,No,Yes,No,No,Public,Yes,Yes,No,Yes,Yes,No,No,Science,Try first,No,No,Yes,No,Giving,Yes,No,Pragmatist,Yes,Yes,Hot headed,Odd hours,No,Happy,No,No,No,Yes,A.M.,No,End,No,Yes,Me,Yes,Yes,Yes,No,No,TMI,Yes,No,Talk,Technology,No,Yes,Yes,Yes,No,Demanding,No,PC,Yes,Risk-friendly,No,Umm...,Yes,Socialize,No,In-person,Yes,No,Yes,Yes,Grrr people,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Rent,Optimist,Dad,Yes,Yes,No,Yes,Check!,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Democrat
3125,3894,1983.0,Female,"$75,000 - $100,000",Married (w/kids),High School Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
2943,3661,1979.0,Female,"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Yes,No,No,Yes,,No,Private,,Yes,No,,,,Yes,Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMI,Yes,,Tunes,People,,,,,,,,PC,Yes,Cautious,No,Yes!,No,Socialize,No,Online,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
3583,4465,1992.0,Male,,Single (no kids),High School Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happy,,,,,,,Start,Yes,Yes,,Yes,,,,,,No,,Tunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
5058,6320,1991.0,Male,,Single (no kids),High School Diploma,,,,,,,,,Yes,No,,,,,,,,,,,,No,Yes,,No,,,Odd hours,,Happy,,,,,,,Start,,No,,,,No,,No,Mysterious,,,Tunes,,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican
4137,5161,1966.0,Male,"$50,000 - $74,999",Married (w/kids),High School Diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Mysterious,No,Yes,Talk,Technology,Yes,Yes,Yes,Yes,No,Supportive,No,PC,Yes,,,,No,,No,In-person,Yes,,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,Republican
2921,3636,1962.0,Male,"$75,000 - $100,000",Married (w/kids),,,,,,,,,,,,,,,,,,,,,,,,No,Pragmatist,No,Yes,,,,Right,Yes,,,,,,,,,,,No,,Yes,,Mysterious,,,,,,,,,,,,,,,,,,,,,,,,Yes,Grrr people,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
5419,6767,1994.0,Female,"$75,000 - $100,000",Single (no kids),High School Diploma,No,Yes,,,No,Yes,Public,,Yes,Yes,No,Yes,No,Yes,Art,Study first,Yes,Yes,No,Yes,Giving,No,No,Idealist,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat
